graph_order,acronym,name,DHBA_name,DHBA_acronym,DHBA_id,color_hex_triplet,uDHBA_id,r,g,b,a,vis,msh,acronym
545,PACc,caudal periamygdaloid cortex (ventral division of CoP) ,venrtral subdivision of CoP,CoPv,DHBA:146034722,#92C851,998,145,30,180,1,1,1,PACc
546,LOT,nucleus of lateral olfactory tract,nucleus of lateral olfactory tract,NLOT,DHBA:10309,#9988BB,999,128,128,128,1,1,1,LOT
547,Me,medial nuclear complex of amygdala,medial nucleus,Me,DHBA:10376,#9CCC66,104,215,236,224,1,1,1,Me
548,MeR,rostral medial nucleus,rostral subdivision of medial nucleus,MeR,DHBA:11530,#9CCC66,1000,230,25,75,1,1,1,MeR
549,MeRd,dorsal subdivision of rostral medial nucleus,,,DHBA:AA30226,,1001,70,240,240,1,1,1,MeRd
550,MeRv,ventral subdivision of rostral medial nucleus,,,DHBA:AA30227,,1002,0,130,200,1,1,1,MeRv
551,MeRm,medial subdivision of rostral medial nucleus,,,DHBA:AA30228,,1003,145,30,180,1,1,1,MeRm
552,BAOT,bed nucleus of accessory olfactory tract,,,DHBA:AA30229,,1004,128,128,0,1,1,1,BAOT
553,MeC,caudal medial nucleus,caudal subdivision of medial nucleus,MeC,DHBA:11531,#9CCC66,1005,60,180,75,1,1,1,MeC
554,MeCd,dorsal subdivision of caudal medial nucleus,dorsal part of caudal medial nucleus,MeCd,DHBA:11532,#9CCC66,1006,70,240,240,1,1,1,MeCd
555,MeCv,ventral subdivision of caudal medial nucleus,ventral part of caudal medial nucleus,MeCv,DHBA:11533,#92C851,1007,145,30,180,1,1,1,MeCv
556,MeCm,medial subdivision of caudal medial nucleus,,,DHBA:AA30230,,1008,230,25,75,1,1,1,MeCm
557,AHA,amygdalohippocampal area,amygdalohippocampal area,AHA,DHBA:10377,#89BA46,105,6,55,109,1,1,1,AHA
558,AHAmc,magnocellular division of amygdalohippocampal area,magnocellular part of amygdalohippocampal area,AHAmc,DHBA:146034726,#72983F,1009,255,250,200,1,1,1,AHAmc
559,AHApc,parvicellular division of amygdalohippocampal area,parvocellular part of amygdalohippocampal area,AHApc,DHBA:146034730,#82B146,1010,245,130,48,1,1,1,AHApc
560,BLN,basolateral nuclear group of amygdala,basolateral nuclear group,BLN,DHBA:10366,#A6D17A,106,28,4,227,1,1,1,BLN
561,La,lateral nucleus of amygdala,lateral nucleus,La,DHBA:10367,#A6D17A,107,58,166,176,1,1,1,La
562,LaD,dorsal division of lateral nucleus,dorsal division of lateral nucleus,LaD,DHBA:11507,#92C851,1011,170,255,195,1,1,1,LaD
563,LaDl,lateral subdivision of LaD ,dorsal lateral subdivision of lateral nucleus,LaDl,DHBA:11509,#92C851,1012,245,130,48,1,1,1,LaDl
564,LaDm,medial subdivision of LaD ,dorsal medial subdivision of lateral nucleus,LaDm,DHBA:11511,#92C851,1013,220,190,255,1,1,1,LaDm
565,LaI,intermediate division of lateral nucleus,intermediate division of lateral nucleus,LaI,DHBA:11512,#A6D17A,1014,255,250,200,1,1,1,LaI
566,LaV,ventral division of lateral nucleus,ventral division of lateral nucleus,LaV,DHBA:11513,#89BA46,1015,250,190,212,1,1,1,LaV
567,LaVl,lateral subdivision of LaV,ventral lateral subdivision of lateral nucleus,LaVl,DHBA:11514,#89BA46,1016,255,215,180,1,1,1,LaVl
568,LaVm,medial subdivision of LaV,ventral medial subdivision of lateral nucleus,LaVm,DHBA:11515,#89BA46,1017,70,240,240,1,1,1,LaVm
569,LaGlo,glomerular cell islands in LaV,glomerular subdivision of lateral nucleus,LaVglo,DHBA:146034734,#82B146,1018,128,0,0,1,1,1,LaGlo
570,BL,basolateral nucleus (basal nucleus) of amygdala,basolateral nucleus (basal nucleus),BL,DHBA:10368,#89BA46,108,14,18,133,1,1,1,BL
571,BLr,rostral (uncharted) division of BL,,,DHBA:AA30231,,1019,0,0,128,1,1,1,BLr
572,BLmc,magnocellular (dorsal) division of BL,dorsal (magnocellular) division of basolateral nucleus,BLD,DHBA:11516,#779E3F,1020,0,128,128,1,1,1,BLmc
573,BLmcd,dorsolateral subdivision of BLmc,dorsal lateral subdivision of basolateral nucleus,BLDl,DHBA:11517,#779E3F,1021,220,190,255,1,1,1,BLmcd
574,BLmcl,lateral subdivision of BLmc,,,DHBA:AA30232,,1022,145,30,180,1,1,1,BLmcl
575,BLmcm,medial subdivision of BLmc,,,DHBA:AA30233,,1023,245,130,48,1,1,1,BLmcm
576,BLi,intermediate division of BL,intermediate division of basolateral nucleus,BLI,DHBA:11518,#7EA541,1024,220,190,255,1,1,1,BLi
577,BLpc,parvicellular (ventral) division of BL,ventral (parvicellular) division of basolateral nucleus,BLV,DHBA:11519,#82B146,1025,128,0,0,1,1,1,BLpc
578,BLpcl,lateral subdivision of BLpc,ventral lateral subdivision of basolateral nucleus,BLVl,DHBA:11520,#82B146,1026,255,250,200,1,1,1,BLpcl
579,BLpcm,medial subdivision of BLpc (basoventral nucleus),ventral medial subdivision of basolateral nucleus,BLVm,DHBA:11521,#82B146,1027,255,225,25,1,1,1,BLpcm
580,PL,paralaminar nucleus of amygdala,paralaminar nucleus,PL,DHBA:10370,#92C851,1028,255,215,180,1,1,1,PL
581,PLglo,glomerular cell islands in PL,glomerular part of paralaminar nucleus,PLglo,DHBA:146034738,#89BA46,1029,255,225,25,1,1,1,PLglo
582,BM,basomedial nucleus (accessory basal nucleus) of amygdala,basomedial nucleus (accessory basal nucleus),BM,DHBA:10369,#9CCC66,109,123,167,28,1,1,1,BM
583,BMr,rostral division of BM,,,DHBA:AA30234,,1030,128,128,0,1,1,1,BMr
584,BMmc,magnocellular (dorsal) division of BM,dorsal division of basomedial nucleus,BMD,DHBA:11522,#7EA541,1031,128,0,0,1,1,1,BMmc
585,BMmcl,lateral subdivision of BMmc,dorsolateral subdivision of basomedial nucleus,BMDl,DHBA:11523,#7EA541,1032,128,0,0,1,1,1,BMmcl
586,BMmcm,medial subdivsion of BMmc,dorsomedial (magnocellular) subdivsion of basomedial nucleus,BMDm,DHBA:11524,#7EA541,1033,128,128,128,1,1,1,BMmcm
587,BMpc,parvicellular (ventral) division of BM,ventral division of basomedial nucleus,BMV,DHBA:11525,#89BA46,1034,70,240,240,1,1,1,BMpc
588,BMpcl,lateral subdivsion of BMpc,ventrolateral (parvocellular) subdivsion of basomedial nucleus,BMVl,DHBA:11526,#89BA46,1035,255,225,25,1,1,1,BMpcl
589,BMpcm,medial  subdivsion of BMpc,ventromedial  subdivsion of basomedial nucleus,BMVm,DHBA:11527,#89BA46,1036,210,245,60,1,1,1,BMpcm
590,BMm,medial division of BM,medial division of basomedial nucleus,BMm,DHBA:266441447,#82B146,1037,145,30,180,1,1,1,BMm
591,BMdc,densocelllular division of BM,,,DHBA:AA30235,,1038,128,0,0,1,1,1,BMdc
592,InA,intercalated nuclei of amygdala,Intercalated nucleus of amygdala,INA,DHBA:10378,#72983F,1039,70,240,240,1,1,1,InA
593,InAmj,major intercalated nucleus of amygdala,,,DHBA:AA30236,,1040,128,0,0,1,1,1,InAmj
594,InAs,small intercalated nuclei of amygdala,,,DHBA:AA30237,,1041,255,215,180,1,1,1,InAs
595,ATA,amygdaloid transition areas,amygdaloid transition areas,ATA,DHBA:10379,#EBBE97,110,205,203,198,1,1,1,ATA
596,AHTA,amygdalohippocampal transition area,amygdalohippocampal transition area,AHTA,DHBA:10380,#E7B080,111,89,52,183,1,1,1,AHTA
597,AHTAmc,magnocellular division of AHTA,,,DHBA:AA30238,,1042,128,128,128,1,1,1,AHTAmc
598,AHTApc,parvicellular division of AHTA,,,DHBA:AA30239,,1043,210,245,60,1,1,1,AHTApc
599,ACTA,amygdalocortical transition area,amygdalocortical (corticoamygdaloid) transition area,ACTA,DHBA:10382,#E39E67,113,199,105,19,1,1,1,ACTA
600,AMYx,uncharted (diffuse) part of amygdaloid complex,,,DHBA:AA30240,,1044,70,240,240,1,1,1,AMYx
601,AMYDe, developing transient structures of amygdalar region,,,DHBA:AA30241,,1045,70,240,240,1,1,1,AMYDe
602,paVZ,ventricular zone of postamygdaloid region,VZ in postamygdaloid region,paVZ,DHBA:10553,#678B3C,1046,250,190,212,1,1,1,paVZ
603,CAS,caudal amygdaloid migratory stream,,,DHBA:AA30242,,1047,230,25,75,1,1,1,CAS
604,EXA,extended amygdala,extended amygdala,EXA,DHBA:10383,#C7E4CA,114,73,66,52,1,1,1,EXA
605,EXASe,segmentation of extended amygdala,,,DHBA:AA30243,,1048,0,0,128,1,1,1,EXASe
606,BST,bed nucleus of stria terminalis,bed nucleus of stria terminalis,BNST,DHBA:10384,#A9D7AE,115,240,50,230,1,1,1,BST
607,BSTr,rostral division of BST,,,DHBA:AA30244,,1049,0,128,128,1,1,1,BSTr
608,BSTrm,medial subdivision of BSTr,,,DHBA:AA30245,,1050,210,245,60,1,1,1,BSTrm
609,BSTrl,lateral subdivision of BNSr,,,DHBA:AA30246,,1051,128,128,128,1,1,1,BSTrl
610,BSTrlj,juxtacapsular part of BSTrl,,,DHBA:AA30247,,1052,255,250,200,1,1,1,BSTrlj
611,BSTrlv,ventral part of BSTrl,,,DHBA:AA30248,,1053,145,30,180,1,1,1,BSTrlv
612,BSTfu,fusiform nucleus of BSTrl,,,DHBA:AA30249,,1054,0,130,200,1,1,1,BSTfu
613,BSTov,oval subdivision of BSTr,,,DHBA:AA30250,,1055,128,0,0,1,1,1,BSTov
614,BSTc,caudal division of BST,,,DHBA:AA30251,,1056,245,130,48,1,1,1,BSTc
615,BSTcm,medial subdivision of BSTc,,,DHBA:AA30252,,1057,70,240,240,1,1,1,BSTcm
616,BSTpr,principal part of BSTcm,,,DHBA:AA30253,,1058,0,130,200,1,1,1,BSTpr
617,BSTprd,dorsal part of BSTpr,,,DHBA:AA30254,,1059,128,128,0,1,1,1,BSTprd
618,BSTprv,ventral part of BSTpr,,,DHBA:AA30255,,1060,245,130,48,1,1,1,BSTprv
619,BSTif,interfascicular part of BSTcm,,,DHBA:AA30256,,1061,255,250,200,1,1,1,BSTif
620,BSTcl,lateral subdivision of BSTc,,,DHBA:AA30257,,1062,60,180,75,1,1,1,BSTcl
621,BSTsc,spindle-shaped small cell division of BST,,,DHBA:AA30258,,1063,128,128,128,1,1,1,BSTsc
622,BSTst,remaining division of BST (along stria terminaris),,,DHBA:AA30259,,1064,0,130,200,1,1,1,BSTst
623,SLEA,sublenticular extended amygdala,sublenticular extended amygdala,SLEA,DHBA:10387,#9AD0A0,116,12,207,89,1,1,1,SLEA
624,SLEAm,medial division of SLEA,medial division of sublenticular extended amygdala,SLEAm,DHBA:11569,#8FCC94,1065,170,110,40,1,1,1,SLEAm
625,SLEAl,lateral division of SLEA,central division of sublenticular extended amygdala,SLEAc,DHBA:11570,#8FCC94,1066,255,215,180,1,1,1,SLEAl
626,EXADe,developing transient structures of extended amygdala,,,DHBA:AA30260,,1067,170,110,40,1,1,1,EXADe
627,EXAvz,ventricular zone of extended amygdala,,,DHBA:AA30261,,1068,220,190,255,1,1,1,EXAvz
628,CLEn,claustrum-endopiriform nuclear complex,,,DHBA:AA30262,,1069,170,255,195,1,1,1,CLEn
629,CLEnSe,segmentation of claustrum-endopiriform nuclear complex,,,DHBA:AA30263,,1070,245,130,48,1,1,1,CLEnSe
630,Cla,claustrum,claustrum,Cla,DHBA:10346,#AADBCE,135,44,101,185,1,1,1,Cla
631,CLd,dorsal claustrum,Dorsal claustrum,CLd,DHBA:10347,#84CDBC,136,228,2,208,1,1,1,CLd
632,CLv,ventral claustrum,ventral claustrum,CLv,DHBA:10348,#75C8B3,137,137,216,173,1,1,1,CLv
633,CLt,temporal claustrum,temporal claustrum,CLt,DHBA:146034762,#66C4AF,138,207,216,155,1,1,1,CLt
634,En,endopiriform nucleus,endopiriform nucleus,En,DHBA:10371,#9CCC66,1071,240,50,230,1,1,1,En
635,EnD,dorsal endopiriform nucleus,,,DHBA:AA30264,,1072,70,240,240,1,1,1,EnD
636,EnV,ventral endopiriform nucleus,endopiriform nucleus,En,DHBA:10371,#9CCC66,1073,220,190,255,1,1,1,EnV
637,DiE,diencephalon,diencephalon,Die,DHBA:10389,#E4CCE3,148,255,250,200,1,1,1,DiE
638,THM,thalamus,thalamus,THM,DHBA:10390,#E4CCE3,149,159,19,8,1,1,1,THM
639,THMSe,segmentation of thalamus,,,DHBA:AA30265,,1074,0,0,128,1,1,1,THMSe
640,DTH,dorsal thalamus,dorsal thalamus,DTH,DHBA:10391,#CC9FC9,150,75,188,207,1,1,1,DTH
641,ANC,anterior nuclear complex of thalamus,anterior nuclear complex of thalamus,ANC,DHBA:10392,#BF89BC,151,25,46,148,1,1,1,ANC
642,AD,anterodorsal nucleus of thalamus,anterodorsal nucleus of thalamus,AD,DHBA:10393,#B67BB4,152,164,159,18,1,1,1,AD
643,ADm,medial (parvicellular) part of AD,,,DHBA:AA30266,,1075,170,110,40,1,1,1,ADm
644,ADl,lateral (magocellular) part of AD,,,DHBA:AA30267,,1076,0,128,128,1,1,1,ADl
645,IAD,interanterodorsal nucleus of thalamus,,,DHBA:AA30268,,1077,210,245,60,1,1,1,IAD
646,AV,anteroventral nucleus of thalamus,anteroventral nucleus of thalamus,AV,DHBA:10395,#B067A9,154,32,213,136,1,1,1,AV
647,AVdm,dorsomedial part of AV,,,DHBA:AA30269,,1078,70,240,240,1,1,1,AVdm
648,AVvl,ventrolateral part of AV,,,DHBA:AA30270,,1079,170,255,195,1,1,1,AVvl
649,AM,anteromedial nucleus of thalamus,anteromedial nucleus of thalamus,AM,DHBA:10394,#B67BB4,153,231,127,150,1,1,1,AM
650,AMd,dorsal part of AM,,,DHBA:AA30271,,1080,0,128,128,1,1,1,AMd
651,AMv,ventral part of AM,,,DHBA:AA30272,,1081,70,240,240,1,1,1,AMv
652,MNC,medial nuclear complex of thalamus,medial nuclear complex of thalamus,MNC,DHBA:10397,#B67BB4,156,189,74,138,1,1,1,MNC
653,MD,mediodorsal nucleus of thalamus,mediodorsal nucleus of thalamus,MD,DHBA:10398,#B067A9,157,213,138,107,1,1,1,MD
654,MDdc,densocelllular (paralamellar) division of MD,densocelllular (paralamellar) division of MD,MDd,DHBA:10399,#B067A9,1082,128,0,0,1,1,1,MDdc
655,MDm,medial (magnocellular) division of MD,magnocellular (medial) division of MD,MDm,DHBA:10400,#A554A0,1083,170,255,195,1,1,1,MDm
656,MDam,anteromedial large-celled island of MD ,anteromedial large-celled island of MD ,MDam,DHBA:266441507,#A554A0,1084,255,225,25,1,1,1,MDam
657,MDl,lateral (multiform) division of MD,multiform (lateral) division of MD,MDl,DHBA:10401,#B067A9,1085,255,215,180,1,1,1,MDl
658,MDc,central (parvicellular) division of MD,parvocellular (central) division of MD,MDc,DHBA:10402,#B067A9,1086,60,180,75,1,1,1,MDc
659,MDv,ventral division of MD,,,DHBA:AA30273,,1087,0,130,200,1,1,1,MDv
660,MiN,midline nuclear complex of thalamus,midline nuclear complex,MiN,DHBA:13045,#A554A0,186,254,246,169,1,1,1,MiN
661,MiD,dorsal midline nuclei of thalamus,,,DHBA:AA30274,,1088,220,190,255,1,1,1,MiD
662,PaT,paraventricular nucleus of thalamus,paraventricular nucleus,PaV,DHBA:10457,#B067A9,191,250,190,212,1,1,1,PaT
663,PaTr,rostral paraventricular nucleus of thalamus,rostral subdivision of paraventricular nucleus,PaVr,DHBA:10458,#B067A9,1089,70,240,240,1,1,1,PaTr
664,PaTi,intermediate paraventricular nucleus of thalamus,,,DHBA:AA30275,,1090,0,0,128,1,1,1,PaTi
665,PaTc,caudal paraventricular nucleus of thalamus,caudal subdivision of paraventricular nucleus,PaVc,DHBA:10459,#B067A9,1091,255,225,25,1,1,1,PaTc
666,PT,parataenial nucleus of thalamus,parataenial nucleus of thalamus,Pt,DHBA:10404,#B67BB4,159,128,128,128,1,1,1,PT
667,IMD,intermediodorsal  nucleus of thalamus,intermediodorsal  nucleus of thalamus,IMD,DHBA:13049,#B067A9,1092,255,225,25,1,1,1,IMD
668,MiV,ventral midline nuclei of thalamus,,,DHBA:AA30276,,1093,230,25,75,1,1,1,MiV
669,Re,reuniens (medioventral) nucleus of thalamus,reuniens nucleus (medioventral nucleus) of thalamus,Re,DHBA:10403,#95498A,158,60,24,145,1,1,1,Re
670,Xi,xiphoid thalamic nucleus,,,DHBA:AA30277,,1094,128,0,0,1,1,1,Xi
671,SmT,submedius thalamic nucleus,,,DHBA:AA30278,,1095,255,215,180,1,1,1,SmT
672,Fa,fasciculosus nucleus of thalamus,fasciculosus nucleus of thalamus,Fa,DHBA:13047,#B67BB4,1096,210,245,60,1,1,1,Fa
673,IAM,interanteromedial nucleus of thalamus,interanteromedial nucleus of thalamus,IAM,DHBA:13048,#B067A9,1097,128,0,0,1,1,1,IAM
674,Rh,rhomboid (central) nucleus of thalamus,rhomboid (central) nucleus of thalamus,Rh,DHBA:10447,#B67BB4,1098,128,128,0,1,1,1,Rh
675,PeVA,periventricular area of posterior thalamus,periventricular area of thalamus,PeVA,DHBA:13046,#B067A9,1099,128,128,128,1,1,1,PeVA
676,SPf,subparafascicular nucleus of thalamus,subparafascicular nucleus of thalamus,SPf,DHBA:13054,#BF89BC,185,32,229,168,1,1,1,SPf
677,RPf,retroparafascicular area of thalamus,retroparafascicular area of thalamus,RPf,DHBA:15534,#B067A9,1100,0,128,128,1,1,1,RPf
678,RRe,retrouniens area,,,DHBA:AA30279,,1101,250,190,212,1,1,1,RRe
679,LNC,lateral nuclear complex of thalamus,lateral nuclear complex of thalamus,LNC,DHBA:10406,#B67BB4,160,80,189,122,1,1,1,LNC
680,DLN,dorsal group of LNC,dorsal group of lateral nucleus,DLN,DHBA:10407,#B67BB4,161,177,189,142,1,1,1,DLN
681,LD,lateral dorsal nucleus of thalamus,lateral dorsal nucleus of thalamus,LD,DHBA:10396,#B67BB4,155,7,221,85,1,1,1,LD
682,LDd,dorsal division of LD,,,DHBA:AA30280,,1102,240,50,230,1,1,1,LDd
683,LDv,ventral division of LD,,,DHBA:AA30281,,1103,255,215,180,1,1,1,LDv
684,LPul,lateroposterior-pulvinar complex,,,DHBA:AA30282,,1104,250,190,212,1,1,1,LPul
685,LP,lateral posterior nucleus of thalamus,lateral posterior nucleus of thalamus,LP,DHBA:10408,#B067A9,162,139,8,203,1,1,1,LP
686,LPd,dorsal division of LP,,,DHBA:AA30283,,1105,145,30,180,1,1,1,LPd
687,LPv,ventral division of LP,,,DHBA:AA30284,,1106,240,50,230,1,1,1,LPv
688,Pul,pulvinar of thalamus,pulvinar of thalamus,Pul,DHBA:10409,#B067A9,163,8,115,179,1,1,1,Pul
689,Pulr,rostral division of pulvinar,anterior nucleus of pulvinar,Pulr,DHBA:10410,#B067A9,1107,128,128,0,1,1,1,Pulr
690,Pulm,medial division of pulvinar,medial nucleus of pulvinar,Pulm,DHBA:10411,#B067A9,1108,128,0,0,1,1,1,Pulm
691,Pull,lateral division of pulvinar,lateral nucleus of pulvinar,Pull,DHBA:10412,#B067A9,1109,245,130,48,1,1,1,Pull
692,Pulldm,dorsomedial part of Pull,,,DHBA:AA30285,,1110,170,110,40,1,1,1,Pulldm
693,Pullvl,ventrolateral part of Pull,,,DHBA:AA30286,,1111,145,30,180,1,1,1,Pullvl
694,Puli,inferior division of pulvinar,inferior nucleus of pulvinar,Puli,DHBA:10413,#B067A9,1112,255,250,200,1,1,1,Puli
695,Pulil,lateral subdivision of Puli,lateral subdivision of Puli,Pulil,DHBA:10414,#B067A9,1113,255,215,180,1,1,1,Pulil
696,Pulic,central subdivision of Puli,,,DHBA:AA30287,,1114,255,215,180,1,1,1,Pulic
697,Pulim,medial subdivision of Puli,medial subdivision of Puli,Pulim,DHBA:10415,#B067A9,1115,128,128,128,1,1,1,Pulim
698,Pulip,posterior subdivision of Puli,,,DHBA:AA30288,,1116,170,110,40,1,1,1,Pulip
699,VLN,ventral group of LNC,ventral group of lateral nucleus,VLN,DHBA:10416,#A554A0,164,100,90,79,1,1,1,VLN
700,VAL,ventroanterior-ventrolateral nuclei of thalamus,,,DHBA:AA30289,,1117,255,215,180,1,1,1,VAL
701,VA,ventral anterior nucleus of thalamus,ventral anterior nucleus of thalamus,VA,DHBA:10417,#A554A0,165,218,147,208,1,1,1,VA
702,VApr,principal division of VA,parvocellular division of VA,VApr,DHBA:10418,#A554A0,1118,220,190,255,1,1,1,VApr
703,VAm,medial subdivision of VApr,,,DHBA:AA30290,,1119,230,25,75,1,1,1,VAm
704,VAl,lateral subdivision of VApr,,,DHBA:AA30291,,1120,210,245,60,1,1,1,VAl
705,VAcd,caudodorsal extension of VA,,,DHBA:AA30292,,1121,250,190,212,1,1,1,VAcd
706,VAmc,magocellular division of VA,magnocellular division of VA,VAmc,DHBA:10419,#9E4C94,1122,60,180,75,1,1,1,VAmc
707,VL,ventral lateral nucleus of thalamus,ventral lateral nucleus of thalamus,VL,DHBA:10420,#B067A9,166,4,188,151,1,1,1,VL
708,VLr,rostral subdivision of VL,rostral division of VL,VLR,DHBA:10421,#B067A9,1123,145,30,180,1,1,1,VLr
709,VLx,medial subdivision of VL (nucleus x of thalamus),medial subdivision of VLC (area x),VLCx,DHBA:13039,#BF89BC,1124,128,128,128,1,1,1,VLx
710,VLc,caudal subdivision of VL,caudal division of VL,VLC,DHBA:10422,#B067A9,1125,128,128,128,1,1,1,VLc
711,VLcd,dorsal part of caudal subdivision of VL,dorsal subdivision of VLC,VLCd,DHBA:13037,#B067A9,1126,220,190,255,1,1,1,VLcd
712,VLcv,ventral part of caudal subdivision of VL,ventral subdivision of VLC,VLCv,DHBA:13038,#B67BB4,1127,255,215,180,1,1,1,VLcv
713,VLvm,ventromedial subdivision of VL,,,DHBA:AA30293,,1128,220,190,255,1,1,1,VLvm
714,VM,ventral medial nucleus of thalamus,ventral medial nucleus of thalamus,VM,DHBA:10427,#9E4C94,172,53,152,218,1,1,1,VM
715,VPT,ventral posterior nuclei of thalamus,ventral posterior nucleus of thalamus,VPT,DHBA:10423,#9E4C94,167,42,48,101,1,1,1,VPT
716,VPL,ventral posterior lateral nucleus,ventral posterior lateral nucleus,VPL,DHBA:10424,#9E4C94,168,32,35,172,1,1,1,VPL
717,VPLr,rostral division of ventral posterior lateral nucleus,rostral division of ventral posterior lateral nucleus,VPLr,DHBA:266441511,#9E4C94,1129,170,255,195,1,1,1,VPLr
718,VPLc,caudal division of ventral posterior lateral nucleus,caudal division of ventral posterior lateral nucleus,VPLc,DHBA:266441515,#9E4C94,1130,0,130,200,1,1,1,VPLc
719,VPM,ventral posterior medial nucleus,ventral posterior medial nucleus,VPM,DHBA:10425,#9E4C94,169,136,49,69,1,1,1,VPM
720,VPS,ventral posterior superior nucleus,,,DHBA:AA30294,,1131,70,240,240,1,1,1,VPS
721,VPpc,parvicellular division of ventral posterior nucleus,parvocellular division of VPM,VPMpc,DHBA:146034766,#8C4685,1132,255,250,200,1,1,1,VPpc
722,VPI,ventral posterior inferior nucleus,ventral posterior inferior nucleus,VPI,DHBA:10426,#9E4C94,170,144,26,188,1,1,1,VPI
723,VMb,basal ventral medial nucleus,basal ventral medial nucleus,VMb,DHBA:13040,#9E4C94,171,143,106,163,1,1,1,VMb
724,PoN,posterior nuclear complex of thalamus,posterior nuclear complex of thalamus,PoN,DHBA:10428,#BF89BC,173,147,21,65,1,1,1,PoN
725,LGC,lateral geniculate nuclear complex,,,DHBA:AA30295,,1133,170,110,40,1,1,1,LGC
726,LG,lateral geniculate nucleus (dorsal lateral geniculate nucleus),lateral geniculate nucleus,LG,DHBA:10429,#8C4685,174,98,249,223,1,1,1,LG
727,LGmc,magnocellular layers of LG,magnocellular layer of DLG,DLGmc,DHBA:10431,#773671,1134,0,128,128,1,1,1,LGmc
728,LG1,layer 1 of LG,layer 1 of DLG,DLG1,DHBA:11571,#773671,1135,255,250,200,1,1,1,LG1
729,LG2,layer 2 of LG,layer 2 of DLG,DLG2,DHBA:11572,#773671,1136,210,245,60,1,1,1,LG2
730,LGpc,parvicellular layers of LG,parvicellular layer of DLG,DLGpc,DHBA:10432,#8C4685,1137,0,128,128,1,1,1,LGpc
731,LG3,layer 3 of LG,layer 3 of DLG,DLG3,DHBA:11573,#8C4685,1138,240,50,230,1,1,1,LG3
732,LG4,layer 4 of LG,layer 4 of DLG,DLG4,DHBA:11574,#8C4685,1139,220,190,255,1,1,1,LG4
733,LG5,layer 5 of LG,layer 5 of DLG,DLG5,DHBA:11575,#8C4685,1140,230,25,75,1,1,1,LG5
734,LG6,layer 6 of LG,layer 6 of DLG,DLG6,DHBA:11576,#8C4685,1141,250,190,212,1,1,1,LG6
735,LGko,koniocellular layers of LG,koniocellular layer of DLG,DLGk,DHBA:266441519,#E4CDE4,1142,240,50,230,1,1,1,LGko
736,LGko1,layer 1 (S layer) of LGko,,,DHBA:AA30296,,1143,220,190,255,1,1,1,LGko1
737,LGko2,layer 2 of LGko,,,DHBA:AA30297,,1144,70,240,240,1,1,1,LGko2
738,LGko3,layer 3 of LGko,,,DHBA:AA30298,,1145,0,0,128,1,1,1,LGko3
739,LGko4,layer 4 of LGko,,,DHBA:AA30299,,1146,240,50,230,1,1,1,LGko4
740,LGko5,layer 5 of LGko,,,DHBA:AA30300,,1147,128,128,128,1,1,1,LGko5
741,LGko6,layer 6 of LGko,,,DHBA:AA30301,,1148,250,190,212,1,1,1,LGko6
742,PG,pregeniculate nucleus (ventral lateral geniculate nucleus),pregeniculate nucleus,PG,DHBA:13042,#A554A0,176,150,77,31,1,1,1,PG
743,PGpr,principal part of pregeniculate nucleus,,,DHBA:AA30302,,1149,128,0,0,1,1,1,PGpr
744,PGpc,parvicellular part of PGpr,,,DHBA:AA30303,,1150,60,180,75,1,1,1,PGpc
745,PGmc,magocellular part of PGpr,,,DHBA:AA30304,,1151,145,30,180,1,1,1,PGmc
746,IGL,intergeniculate leaf,,,DHBA:AA30305,,1152,145,30,180,1,1,1,IGL
747,PGov,oval body of pregeniculate nucleus,,,DHBA:AA30306,,1153,0,128,128,1,1,1,PGov
748,MGC,medial geniculate nuclear complex,,,DHBA:AA30307,,1154,145,30,180,1,1,1,MGC
749,MG,medial geniculate nucleus,medial geniculate nuclei,MG,DHBA:10434,#B67BB4,177,17,142,10,1,1,1,MG
750,DMG,dorsal (rostral) division of medial geniculate nucleus,dorsal medial geniculate nucleus,DMG,DHBA:10435,#B67BB4,1155,60,180,75,1,1,1,DMG
751,DMGrd,rostrodorsal subdivision of DMG,anterodorsal subdivision of DMG,DMGad,DHBA:10436,#B67BB4,1156,145,30,180,1,1,1,DMGrd
752,DMGcd,caudodorsal subdivision of DMG,posterodorsal subdivision of DMG,DMGpd,DHBA:10437,#B67BB4,1157,250,190,212,1,1,1,DMGcd
753,VMG,ventral (caudal) division of medial geniculate nucleus,ventral medial geniculate nucleus,VMG,DHBA:10438,#BF89BC,1158,128,0,0,1,1,1,VMG
754,VMGr,rostral subdivision of the VMG,,,DHBA:AA30308,,1159,60,180,75,1,1,1,VMGr
755,VMGc,caudal subdivision of the VMG,,,DHBA:AA30309,,1160,170,255,195,1,1,1,VMGc
756,MMG,medial division of medial geniculate nucleus,magnocellular (medial) nucleus,MMG,DHBA:10439,#B067A9,1161,60,180,75,1,1,1,MMG
757,MzMG,marginal zone of medial geniculate nucleus,limitans part of medial geniculate nucleus,LiMG,DHBA:266441523,#B067A9,1162,145,30,180,1,1,1,MzMG
758,SGN,suprageniculate nucleus,suprageniculate nucleus of thalamus,SGN,DHBA:13044,#95498A,1163,128,128,0,1,1,1,SGN
759,PaMG,parageniculate nuclear complex,,,DHBA:AA30310,,1164,230,25,75,1,1,1,PaMG
760,PoT,posterior nucleus of thalamus,posterior nucleus of thalamus,Po,DHBA:10440,#B67BB4,178,255,225,25,1,1,1,PoT
